"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"17/09/2025","9.050","9.150","9.150","9.050","11,80K","-0,55%"
"16/09/2025","9.100","9.150","9.200","9.100","7,10K","-0,27%"
"15/09/2025","9.125","9.050","9.150","9.050","8,10K","0,83%"
"12/09/2025","9.050","9.050","9.150","9.025","11,90K","0,00%"
"11/09/2025","9.050","9.125","9.125","9.000","23,10K","-0,82%"
"10/09/2025","9.125","9.100","9.225","9.100","1,70K","0,83%"
"09/09/2025","9.050","9.125","9.150","9.025","6,10K","-0,82%"
"08/09/2025","9.125","9.300","9.300","9.000","21,80K","-1,88%"
"04/09/2025","9.300","9.225","9.325","9.200","10,50K","1,09%"
"03/09/2025","9.200","9.425","9.425","9.000","53,60K","-1,08%"
"02/09/2025","9.300","9.500","9.600","9.275","46,80K","-1,33%"
"01/09/2025","9.425","9.700","9.700","9.300","10,10K","-3,58%"
"29/08/2025","9.775","9.625","9.775","9.075","77,40K","1,82%"
"28/08/2025","9.600","9.950","10.400","9.400","89,00K","-1,29%"
"27/08/2025","9.725","9.625","11.400","9.200","5,62M","2,37%"
"26/08/2025","9.500","10.375","10.375","9.500","23,50K","-2,81%"
"25/08/2025","9.775","9.475","10.575","9.475","77,90K","3,99%"
"22/08/2025","9.400","9.275","9.500","9.200","10,60K","2,17%"
"21/08/2025","9.200","9.300","9.375","9.125","16,00K","-1,34%"
"20/08/2025","9.325","9.350","9.350","9.000","18,90K","0,81%"
"19/08/2025","9.250","9.225","9.250","9.200","16,90K","0,27%"
"15/08/2025","9.225","9.225","9.275","9.000","32,60K","-1,07%"
"14/08/2025","9.325","9.350","9.700","9.000","47,00K","-0,53%"
"13/08/2025","9.375","9.525","10.125","9.325","15,10K","-1,06%"
"12/08/2025","9.475","9.275","9.750","9.275","7,30K","2,71%"
"11/08/2025","9.225","9.500","9.525","9.225","3,20K","-0,27%"
"08/08/2025","9.250","9.300","9.450","9.000","7,70K","-0,54%"
"07/08/2025","9.300","9.525","9.525","9.300","2,40K","-1,06%"
"06/08/2025","9.400","9.425","9.500","9.200","1,50K","0,00%"
"05/08/2025","9.400","9.400","9.475","9.250","5,10K","-0,53%"
"04/08/2025","9.450","9.550","9.575","9.325","3,40K","-1,31%"
"01/08/2025","9.575","9.825","9.825","9.550","4,20K","-2,79%"
"31/07/2025","9.850","9.800","9.850","9.075","23,30K","0,51%"
"30/07/2025","9.800","9.750","10.400","9.350","40,70K","1,03%"
"29/07/2025","9.700","9.475","9.700","9.150","20,20K","2,11%"
"28/07/2025","9.500","9.400","9.500","9.100","9,50K","1,60%"
"25/07/2025","9.350","9.150","9.500","9.125","8,00K","2,47%"
"24/07/2025","9.125","9.100","9.125","9.100","1,20K","0,27%"
"23/07/2025","9.100","9.175","9.175","9.000","11,50K","-0,27%"
"22/07/2025","9.125","9.100","9.350","9.100","7,50K","-2,41%"
"21/07/2025","9.350","9.225","9.350","9.000","5,70K","0,00%"
"18/07/2025","9.350","9.350","9.350","9.175","1,00K","0,27%"
"17/07/2025","9.325","9.350","9.350","9.200","2,20K","1,36%"
"16/07/2025","9.200","9.200","9.400","9.175","3,40K","-1,60%"
"15/07/2025","9.350","9.475","9.475","9.350","4,80K","-1,32%"
"14/07/2025","9.475","9.500","9.500","9.200","4,70K","-0,26%"
"11/07/2025","9.500","9.225","9.550","9.225","3,00K","2,98%"
"10/07/2025","9.225","9.425","9.450","9.225","0,70K","0,00%"
"09/07/2025","9.225","9.325","9.325","9.175","3,10K","-1,07%"
"08/07/2025","9.325","9.325","9.325","9.325","0,30K","0,00%"
"07/07/2025","9.325","9.725","9.725","9.300","5,80K","-4,36%"
"04/07/2025","9.750","9.150","9.900","9.125","5,70K","0,78%"
"03/07/2025","9.675","9.150","9.675","9.150","0,30K","-1,28%"
"01/07/2025","9.800","9.950","9.950","9.800","2,20K","-1,01%"
"30/06/2025","9.900","9.500","9.900","9.375","12,60K","4,21%"
"26/06/2025","9.500","9.100","9.500","9.025","5,40K","3,54%"
"25/06/2025","9.175","9.050","9.200","9.000","2,60K","1,38%"
"24/06/2025","9.050","9.175","9.175","9.000","4,50K","0,00%"
"23/06/2025","9.050","9.125","9.300","9.000","3,30K","-0,82%"
"20/06/2025","9.125","9.700","10.100","9.100","15,20K","0,83%"
"19/06/2025","9.050","9.175","9.250","9.000","5,70K","-1,36%"
"18/06/2025","9.175","9.125","9.175","9.125","1,80K","0,55%"
"17/06/2025","9.125","9.325","9.700","9.125","3,40K","-2,14%"
"16/06/2025","9.325","9.050","9.325","9.000","2,30K","-1,84%"
"13/06/2025","9.500","9.575","9.700","9.500","2,40K","-0,78%"
"12/06/2025","9.575","9.600","9.725","9.575","2,40K","0,79%"
"11/06/2025","9.500","9.600","9.700","9.500","5,30K","-1,04%"
"10/06/2025","9.600","9.700","9.825","9.425","8,90K","-1,03%"
"05/06/2025","9.700","9.700","9.900","9.200","12,80K","0,00%"
"04/06/2025","9.700","10.150","10.150","9.700","6,40K","-2,76%"
"03/06/2025","9.975","9.800","9.975","9.800","3,00K","0,25%"
"02/06/2025","9.950","9.875","9.950","9.725","12,10K","0,25%"
"28/05/2025","9.925","9.950","9.950","9.925","0,70K","-0,25%"
"27/05/2025","9.950","9.975","10.000","9.950","0,90K","-0,25%"
"26/05/2025","9.975","9.900","9.975","9.750","105,80K","0,76%"
"23/05/2025","9.900","9.975","10.300","9.850","8,20K","0,25%"
"22/05/2025","9.875","10.000","10.125","9.825","15,40K","-1,00%"
"21/05/2025","9.975","9.950","10.050","9.825","7,50K","0,25%"
"20/05/2025","9.950","10.000","10.100","9.950","12,50K","-1,24%"
"19/05/2025","10.075","10.100","10.100","9.950","8,80K","-0,25%"
"16/05/2025","10.100","10.175","10.200","10.100","8,20K","-0,74%"
"15/05/2025","10.175","10.350","10.875","10.175","35,50K","-1,45%"
"14/05/2025","10.325","10.300","12.000","10.025","125,10K","0,24%"
"09/05/2025","10.300","10.125","10.500","10.000","15,40K","1,98%"
"08/05/2025","10.100","10.150","10.350","10.000","4,70K","-2,42%"
"07/05/2025","10.350","10.275","10.500","10.125","11,40K","0,98%"
"06/05/2025","10.250","10.175","10.975","10.000","10,40K","0,74%"
"05/05/2025","10.175","9.700","11.550","9.700","27,40K","4,90%"
"02/05/2025","9.700","9.775","9.850","9.700","2,10K","-0,77%"
"30/04/2025","9.775","9.550","9.925","9.550","1,30K","0,77%"
"29/04/2025","9.700","9.600","9.875","9.600","2,50K","1,31%"
"28/04/2025","9.575","9.600","9.725","9.525","13,90K","-0,26%"
"25/04/2025","9.600","9.525","9.725","9.525","2,00K","0,79%"
"24/04/2025","9.525","9.700","9.700","9.500","1,90K","-1,80%"
"23/04/2025","9.700","9.950","9.950","9.575","1,60K","1,31%"
"22/04/2025","9.575","9.300","9.575","9.300","0,60K","2,96%"
"21/04/2025","9.300","9.300","9.300","9.300","1,50K","0,00%"
"17/04/2025","9.300","9.450","9.450","9.250","5,30K","-1,59%"
"16/04/2025","9.450","9.625","9.625","9.375","1,30K","-1,56%"
"15/04/2025","9.600","9.950","9.950","9.225","14,00K","-3,76%"
"14/04/2025","9.975","9.225","9.975","9.200","5,70K","7,84%"
"11/04/2025","9.250","9.275","9.275","9.225","1,10K","-0,27%"
"10/04/2025","9.275","9.375","9.500","9.275","5,30K","-2,11%"
"09/04/2025","9.475","9.500","9.500","9.100","15,90K","-0,26%"
"08/04/2025","9.500","9.025","9.500","8.925","21,80K","3,26%"
"27/03/2025","9.200","9.050","9.200","9.050","7,60K","1,38%"
